Team Name, Git Repo (it should end with .git)
Staff, https://github.com/alipourm/teaching-fall2018.git
TeamOne, https://github.com/aberinnj/sd_project.git
DDMT, https://github.com/Tylerremmie/COSC4353-Group-Project.git
CTC, https://github.com/OPzCatchMee/Risk.git
TeamHAL, https://github.com/rambleRamblePie/RiskProject.git
CSG, https://github.com/Caparoonie505/RiskGameTeam.git
JCK, https://github.com/JeffSandov6/teaching-fall2018.git
xXBlackhatBadBoisXx, https://github.com/vapor47/risk-game.git
PHP, https://github.com/PayneWheat/risk.git
MeowCat, https://github.com/vivian-v/RiskBoardGame.git
TeamB, https://github.com/bryan-acuna/Risk-Group-Project
DeluxeCode,
NoName, https://github.com/4353Team/RiskGame.git
ARG, https://github.com/k4g4/risk-project
mojo, https://github.com/mikePanagos/teaching-fall2018.git
Fruitcakes, https://github.com/cmohr368/Risk.git
Risk Takers, https://github.com/jdhonea/Risk.git
KevinTonRafael, https://github.com/nova14753692/RiskGame.git
RSG, https://github.com/uroosa04/SD_RiskGame.git
DWC, https://github.com/dxvo/Risk.git
